,MonovsEnpitu,MonovsSattunMina,MonovsYaduyaBurnum,MonovsKateTakakura,Monovsrandomagent,EnpituvsSattunMina,EnpituvsYaduyaBurnum,EnpituvsKateTakakura,Enpituvsrandomagent,SattunMinavsYaduyaBurnum,SattunMinavsKateTakakura,SattunMinavsrandomagent,YaduyaBurnumvsKateTakakura,YaduyaBurnumvsrandomagent,KateTakakuravsrandomagent
333,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2
334,1,2,1,1,1,2,2,1,2,0,1,1,2,1,1
335,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1
336,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1
337,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2
338,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1
339,1,1,1,1,0,2,2,2,1,1,2,1,2,2,1
340,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2
341,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2
342,1,1,1,1,1,2,2,1,2,1,2,1,1,1,0
343,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1
344,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1
345,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1
346,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2
347,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1
348,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1
349,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1
350,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1
351,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
352,1,1,1,1,1,2,0,2,1,1,1,1,1,1,2
353,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1
354,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1
355,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1
356,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2
357,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1
358,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1
359,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2
360,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2
361,1,1,1,1,1,2,1,1,0,1,2,1,1,1,1
362,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2
363,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1
364,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
365,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1
366,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1
367,1,1,1,1,1,1,0,2,1,1,1,2,2,1,2
368,1,1,1,1,1,2,2,2,1,2,1,2,1,0,1
369,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1
370,1,1,0,1,1,1,1,1,2,1,2,1,2,2,1
371,1,1,1,1,1,1,0,1,2,1,2,1,1,1,2
372,1,1,1,1,1,2,2,1,2,2,1,1,0,2,1
373,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1
374,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1
375,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1
376,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2
377,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
378,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2
